Occupation,All_workers,All_weekly,M_workers,M_weekly,F_workers,F_weekly
,Number of workers (thousands),Median weekly income workers,Numer of male workers (thousands),Median weekly income males,Numer of female workers (thousands),Median weekly income female
ALL OCCUPATIONS,109080,809,60746,895,48334,726
MANAGEMENT,12480,"1,351",7332,"1,486",5147,"1,139"
Chief executives,1046,"2,041",763,"2,251",283,"1,836"
General and operations managers,823,"1,260",621,"1,347",202,"1,002"
Legislators,8,NA,6,NA,4,NA
Advertising and promotions managers,55,"1,050",29,NA,26,NA
Marketing and sales managers,948,"1,462",570,"1,603",378,"1,258"
Public relations and fundraising managers,59,"1,557",24,NA,35,NA
Administrative services managers,170,"1,191",96,"1,451",73,981
Computer and information systems managers,636,"1,728",466,"1,817",169,"1,563"
Financial managers,1124,"1,408",551,"1,732",573,"1,130"
Compensation and benefits managers,23,NA,7,NA,16,NA
Human resources managers,254,"1,365",68,"1,495",186,"1,274"
Training and development managers,37,NA,17,NA,20,NA
Industrial production managers,267,"1,485",221,"1,528",45,NA
Purchasing managers,193,"1,348",109,"1,404",84,"1,226"
"Transportation, storage, and distribution managers",276,966,224,"1,006",52,749
